Date,Algoma_Public_Health_Unit,Brant_County_Health_Unit,Chatham-Kent_Health_Unit,Durham_Region_Health_Department,Eastern_Ontario_Health_Unit,Grey_Bruce_Health_Unit,Haldimand-Norfolk_Health_Unit,"Haliburton,_Kawartha,_Pine_Ridge_District_Health_Unit",Halton_Region_Health_Department,Hamilton_Public_Health_Services,Hastings_and_Prince_Edward_Counties_Health_Unit,Huron_Perth_District_Health_Unit,"Kingston,_Frontenac_and_Lennox_&_Addington_Public_Health",Lambton_Public_Health,"Leeds,_Grenville_and_Lanark_District_Health_Unit",Middlesex-London_Health_Unit,Niagara_Region_Public_Health_Department,North_Bay_Parry_Sound_District_Health_Unit,Northwestern_Health_Unit,Ottawa_Public_Health,Peel_Public_Health,Peterborough_Public_Health,Porcupine_Health_Unit,"Region_of_Waterloo,_Public_Health",Renfrew_County_and_District_Health_Unit,Simcoe_Muskoka_District_Health_Unit,Southwestern_Public_Health,Sudbury_&_District_Health_Unit,Thunder_Bay_District_Health_Unit,Timiskaming_Health_Unit,Toronto_Public_Health,Wellington-Dufferin-Guelph_Public_Health,Windsor-Essex_County_Health_Unit,York_Region_Public_Health_Services,Total
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-25,0,1,0,3,0,1,0,0,1,3,0,0,3,0,0,0,1,0,0,3,3,0,0,2,0,0,0,1,0,0,17,1,1,5,46
2020-03-26,0,0,0,1,0,0,0,1,4,4,2,0,5,0,0,2,1,0,0,0,13,2,3,0,0,1,0,0,0,1,21,1,2,5,69
2020-03-27,0,0,0,5,0,1,0,14,1,1,0,0,0,5,0,4,2,1,1,5,15,3,0,3,0,4,2,1,0,0,22,0,0,34,124
2020-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-30,3,9,3,56,5,5,3,12,8,38,3,5,12,13,8,20,22,3,1,52,95,18,6,60,1,25,3,1,2,0,197,4,20,94,807
2020-03-31,0,3,0,21,1,1,4,10,7,17,0,1,8,9,8,8,10,0,0,9,42,2,0,5,1,9,2,2,1,1,4,18,0,16,220
2020-04-01,1,1,2,24,8,1,15,8,27,7,1,3,11,10,8,8,8,0,0,37,21,1,5,13,2,5,2,2,1,0,32,14,10,25,313
2020-04-02,0,5,2,25,6,1,10,9,18,20,4,3,4,17,7,22,18,0,1,118,114,9,3,13,3,8,1,3,0,0,282,6,37,109,878
2020-04-03,1,15,0,21,3,2,13,3,9,10,3,3,1,6,7,16,19,0,0,33,61,3,6,13,0,8,5,9,4,1,100,11,30,46,462
2020-04-04,1,11,1,18,7,0,9,3,26,13,1,0,0,3,9,20,25,0,0,28,41,1,4,15,0,2,1,3,3,0,62,13,19,36,375
2020-04-05,1,5,2,29,3,4,11,27,24,11,3,1,4,12,6,8,21,0,0,24,36,0,1,8,0,8,2,1,2,0,96,14,22,22,408
2020-04-06,0,0,0,12,6,0,0,1,9,15,1,0,0,2,4,12,5,0,0,29,50,1,0,6,0,6,0,0,0,0,98,7,16,29,309
2020-04-07,0,-1,4,20,1,6,14,2,14,10,0,5,0,6,16,11,18,1,2,23,85,0,1,16,2,10,2,0,4,2,64,8,23,10,379
2020-04-08,1,2,1,14,2,2,13,1,61,7,3,0,1,0,44,7,23,0,0,23,63,0,1,8,1,11,3,0,0,0,173,14,20,51,550
2020-04-09,0,5,0,15,4,1,6,9,19,12,0,3,-1,10,15,14,6,1,0,28,77,8,2,9,0,3,3,0,1,2,156,12,23,40,483
